not_id,video_name,start_frame,end_frame,shot_type
0,video_FACEOFF_000202.mp4,90,215,mid
1,video_FACEOFF_000203.mp4,0,155,far
2,video_FACEOFF_000210.mp4,320,455,mid
3,video_FACEOFF_000213.mp4,0,120,far
4,video_FACEOFF_000217.mp4,0,100,close
5,video_FACEOFF_000220.mp4,60,160,mid
6,video_FACEOFF_000221.mp4,0,65,close
7,video_FACEOFF_000223.mp4,0,20,mid
8,video_FACEOFF_000224.mp4,0,35,far
9,video_FACEOFF_000225.mp4,75,195,close
10,video_FACEOFF_000226.mp4,35,90,far
11,video_FACEOFF_000228.mp4,180,290,far
12,video_FACEOFF_000238.mp4,40,45,mid
13,video_FACEOFF_000241.mp4,0,130,mid
14,video_FACEOFF_000245.mp4,105,170,close
15,video_FACEOFF_000246.mp4,175,250,close
16,video_FACEOFF_000251.mp4,0,85,close
17,video_FACEOFF_000252.mp4,210,270,close
18,video_FACEOFF_000261.mp4,0,100,close
19,video_FACEOFF_000261.mp4,0,235,close
20,video_FACEOFF_000262.mp4,420,440,far
21,video_FACEOFF_000263.mp4,555,620,far
22,video_FACEOFF_000266.mp4,0,35,far
23,video_FACEOFF_000268.mp4,35,95,mid
24,video_FACEOFF_000272.mp4,20,70,far
25,video_FACEOFF_000275.mp4,985,1070,far
0,video_FACEOFF_000055.mp4,0,135,close
1,video_FACEOFF_000055.mp4,135,390,close
2,video_FACEOFF_000056.mp4,0,50,far
3,video_FACEOFF_000056.mp4,380,455,close
4,video_FACEOFF_000057.mp4,0,5,close
5,video_FACEOFF_000058.mp4,10,75,close
6,video_FACEOFF_000059.mp4,0,40,mid
7,video_FACEOFF_000060.mp4,0,40,mid
8,video_FACEOFF_000063.mp4,640,980,close
9,video_FACEOFF_000064.mp4,0,150,close
10,video_FACEOFF_000066.mp4,145,670,close
11,video_FACEOFF_000067.mp4,0,145,close
12,video_FACEOFF_000068.mp4,510,695,far
13,video_FACEOFF_000070.mp4,0,40,far
14,video_FACEOFF_000075.mp4,160,235,far
15,video_FACEOFF_000076.mp4,0,15,far
16,video_FACEOFF_000083.mp4,0,15,close
17,video_FACEOFF_000084.mp4,160,175,close
18,video_FACEOFF_000085.mp4,45,95,close
19,video_FACEOFF_000086.mp4,0,80,close
20,video_FACEOFF_000087.mp4,190,320,close
21,video_FACEOFF_000091.mp4,0,60,close
22,video_FACEOFF_000091.mp4,75,205,close
23,video_FACEOFF_000091.mp4,215,330,close
24,video_FACEOFF_000082.mp4,1440,1555,close
25,video_FACEOFF_000094.mp4,400,470,close
26,video_FACEOFF_000098.mp4,205,400,close
27,video_FACEOFF_000100.mp4,0,95,close
28,video_FACEOFF_000103.mp4,0,70,close
29,video_FACEOFF_000109.mp4,0,165,far
30,video_FACEOFF_000110.mp4,85,115,far
31,video_FACEOFF_000110.mp4,85,115,far
32,video_FACEOFF_000111.mp4,10,45,far
33,video_FACEOFF_000112.mp4,0,15,far
34,video_FACEOFF_000115.mp4,40,65,far
35,video_FACEOFF_000115.mp4,335,390,far
36,video_FACEOFF_000117.mp4,40,340,far
37,video_FACEOFF_000118.mp4,150,360,far
38,video_FACEOFF_000119.mp4,15,140,far
39,video_FACEOFF_000120.mp4,480,540,close
40,video_FACEOFF_000121.mp4,10,390,close
41,video_FACEOFF_000123.mp4,15,200,close
42,video_FACEOFF_000123.mp4,400,520,close
43,video_FACEOFF_000124.mp4,60,100,far
44,video_FACEOFF_000125.mp4,220,245,far
0,video_FACEOFF_000202.mp4,90,215,mid
1,video_FACEOFF_000203.mp4,0,155,far
2,video_FACEOFF_000210.mp4,320,455,mid
3,video_FACEOFF_000213.mp4,0,120,far
4,video_FACEOFF_000217.mp4,0,100,close
5,video_FACEOFF_000220.mp4,60,160,mid
6,video_FACEOFF_000221.mp4,0,65,close
7,video_FACEOFF_000223.mp4,0,20,mid
8,video_FACEOFF_000224.mp4,0,35,far
9,video_FACEOFF_000225.mp4,75,195,close
10,video_FACEOFF_000226.mp4,35,90,far
11,video_FACEOFF_000228.mp4,180,290,far
12,video_FACEOFF_000238.mp4,40,45,mid
13,video_FACEOFF_000241.mp4,0,130,mid
14,video_FACEOFF_000245.mp4,105,170,close
15,video_FACEOFF_000246.mp4,175,250,close
16,video_FACEOFF_000251.mp4,0,85,close
17,video_FACEOFF_000252.mp4,210,270,close
18,video_FACEOFF_000261.mp4,0,100,close
19,video_FACEOFF_000261.mp4,0,235,close
20,video_FACEOFF_000262.mp4,420,440,far
21,video_FACEOFF_000263.mp4,555,620,far
22,video_FACEOFF_000266.mp4,0,35,far
23,video_FACEOFF_000268.mp4,35,95,mid
24,video_FACEOFF_000272.mp4,20,70,far
25,video_FACEOFF_000275.mp4,985,1070,far
0,video_FACEOFF_000127.mp4,0,105,mid
1,video_FACEOFF_000128.mp4,405,450,mid
2,video_FACEOFF_000129.mp4,280,410,far
3,video_FACEOFF_000132.mp4,60,135,far
4,video_FACEOFF_000132.mp4,140,170,close
5,video_FACEOFF_000132.mp4,175,185,far
6,video_FACEOFF_000133.mp4,60,225,mid
7,video_FACEOFF_000133.mp4,235,255,far
8,video_FACEOFF_000135.mp4,0,55,close
9,video_FACEOFF_000135.mp4,170,275,far
10,video_FACEOFF_000136.mp4,0,35,far
11,video_FACEOFF_000139.mp4,155,175,mid
12,video_FACEOFF_000140.mp4,185,215,far
13,video_FACEOFF_000141.mp4,185,260,mid
14,video_FACEOFF_000144.mp4,185,320,far
15,video_FACEOFF_000146.mp4,35,205,mid
16,video_FACEOFF_000148.mp4,225,355,far
17,video_FACEOFF_000151.mp4,110,225,mid
18,video_FACEOFF_000152.mp4,215,260,far
19,video_FACEOFF_000153.mp4,0,100,far
20,video_FACEOFF_000155.mp4,20,95,far
21,video_FACEOFF_000156.mp4,3265,3305,far
22,video_FACEOFF_000163.mp4,0,120,far
23,video_FACEOFF_000164.mp4,40,60,far
24,video_FACEOFF_000164.mp4,150,190,far
25,video_FACEOFF_000165.mp4,220,290,far
26,video_FACEOFF_000166.mp4,0,20,far
27,video_FACEOFF_000166.mp4,440,465,far
28,video_FACEOFF_000167.mp4,260,495,far
29,video_FACEOFF_000168.mp4,220,395,far
30,video_FACEOFF_000170.mp4,85,125,far
31,video_FACEOFF_000172.mp4,260,290,far
32,video_FACEOFF_000174.mp4,0,65,close
33,video_FACEOFF_000174.mp4,70,135,far
34,video_FACEOFF_000177.mp4,600,635,far
35,video_FACEOFF_000178.mp4,50,80,far
36,video_FACEOFF_000179.mp4,320,415,close
37,video_FACEOFF_000180.mp4,15,75,far
38,video_FACEOFF_000182.mp4,175,330,close
39,video_FACEOFF_000183.mp4,245,350,far
40,video_FACEOFF_000184.mp4,115,175,far
41,video_FACEOFF_000185.mp4,80,150,far
42,video_FACEOFF_000186.mp4,340,440,close
43,video_FACEOFF_000187.mp4,0,120,close
44,video_FACEOFF_000190.mp4,390,515,mid
45,video_FACEOFF_000191.mp4,0,100,mid
46,video_FACEOFF_000194.mp4,420,445,mid
0,video_FACEOFF_000351.mp4,0,40,far
1,video_FACEOFF_000352.mp4,160,240,far
2,video_FACEOFF_000353.mp4,0,30,far
3,video_FACEOFF_000358.mp4,245,295,mid
4,video_FACEOFF_000361.mp4,280,295,far
5,video_FACEOFF_000368.mp4,125,215,mid
6,video_FACEOFF_000369.mp4,150,180,mid
7,video_FACEOFF_000370.mp4,75,105,mid
8,video_FACEOFF_000378.mp4,60,180,far
9,video_FACEOFF_000380.mp4,220,280,far
10,video_FACEOFF_000381.mp4,165,250,far
11,video_FACEOFF_000382.mp4,255,295,mid
12,video_FACEOFF_000384.mp4,620,715,far
13,video_FACEOFF_000385.mp4,130,180,mid
14,video_FACEOFF_000386.mp4,275,385,far
15,video_FACEOFF_000387.mp4,480,490,far
16,video_FACEOFF_000388.mp4,105,140,far
17,video_FACEOFF_000390.mp4,380,440,far
18,video_FACEOFF_000395.mp4,320,325,mid
19,video_FACEOFF_000396.mp4,250,305,mid
20,video_FACEOFF_000397.mp4,0,150,far
21,video_FACEOFF_000398.mp4,55,120,mid
22,video_FACEOFF_000400.mp4,325,330,mid
23,video_FACEOFF_000403.mp4,0,100,close
24,video_FACEOFF_000405.mp4,255,380,far
25,video_FACEOFF_000407.mp4,40,220,far
26,video_FACEOFF_000409.mp4,0,10,far
27,video_FACEOFF_000410.mp4,55,85,far
28,video_FACEOFF_000411.mp4,400,455,far
29,video_FACEOFF_000413.mp4,75,280,far
30,video_FACEOFF_000414.mp4,30,150,mid
31,video_FACEOFF_000415.mp4,70,140,mid
32,video_FACEOFF_000417.mp4,205,225,far
33,video_FACEOFF_000420.mp4,250,290,far
34,video_FACEOFF_000422.mp4,105,165,far
35,video_FACEOFF_000423.mp4,300,320,mid
36,video_FACEOFF_000424.mp4,220,380,far
0,video_FACEOFF_000669.mp4,0,120,mid
1,video_FACEOFF_000669.mp4,340,640,close
2,video_FACEOFF_000670.mp4,335,415,close
3,video_FACEOFF_000671.mp4,220,340,close
4,video_FACEOFF_000673.mp4,340,365,close
5,video_FACEOFF_000677.mp4,0,45,close
6,video_FACEOFF_000679.mp4,240,270,close
7,video_FACEOFF_000680.mp4,120,175,mid
8,video_FACEOFF_000681.mp4,40,125,mid
9,video_FACEOFF_000683.mp4,420,440,far
10,video_FACEOFF_000686.mp4,135,180,far
11,video_FACEOFF_000687.mp4,0,110,mid
12,video_FACEOFF_000689.mp4,25,45,mid
13,video_FACEOFF_000690.mp4,210,405,close
14,video_FACEOFF_000691.mp4,0,90,far
15,video_FACEOFF_000692.mp4,280,420,far
16,video_FACEOFF_000693.mp4,0,50,close
17,video_FACEOFF_000694.mp4,380,420,far
18,video_FACEOFF_000694.mp4,545,565,close
19,video_FACEOFF_000695.mp4,155,195,mid
20,video_FACEOFF_000695.mp4,315,350,close
21,video_FACEOFF_000703.mp4,135,235,close
22,video_FACEOFF_000703.mp4,135,235,close
23,video_FACEOFF_000706.mp4,170,335,mid
24,video_FACEOFF_000711.mp4,75,210,far
25,video_FACEOFF_000716.mp4,0,30,mid
26,video_FACEOFF_000716.mp4,245,350,mid
27,video_FACEOFF_000720.mp4,0,120,far
28,video_FACEOFF_000722.mp4,160,210,mid
29,video_FACEOFF_000724.mp4,0,90,close
30,video_FACEOFF_000726.mp4,420,505,mid
31,video_FACEOFF_000727.mp4,55,135,mid
32,video_FACEOFF_000729.mp4,240,345,close
33,video_FACEOFF_000733.mp4,275,350,close
34,video_FACEOFF_000734.mp4,0,145,close
35,video_FACEOFF_000735.mp4,0,70,close
36,video_FACEOFF_000740.mp4,0,65,close
37,video_FACEOFF_000743.mp4,0,260,close
38,video_FACEOFF_000745.mp4,0,45,far
39,video_FACEOFF_000746.mp4,445,485,close
0,video_FACEOFF_000501.mp4,0,20,far
1,video_FACEOFF_000504.mp4,40,50,far
2,video_FACEOFF_000506.mp4,280,355,close
3,video_FACEOFF_000509.mp4,300,425,close
4,video_FACEOFF_000510.mp4,315,440,far
5,video_FACEOFF_000511.mp4,80,180,far
6,video_FACEOFF_000512.mp4,0,40,far
7,video_FACEOFF_000516.mp4,270,360,far
8,video_FACEOFF_000517.mp4,165,270,far
9,video_FACEOFF_000520.mp4,55,120,far
10,video_FACEOFF_000522.mp4,180,200,far
11,video_FACEOFF_000523.mp4,270,660,close
12,video_FACEOFF_000524.mp4,110,140,close
13,video_FACEOFF_000532.mp4,0,240,far
14,video_FACEOFF_000537.mp4,0,90,close
15,video_FACEOFF_000541.mp4,0,400,far
16,video_FACEOFF_000541.mp4,570,645,close
17,video_FACEOFF_000546.mp4,360,390,close
18,video_FACEOFF_000546.mp4,415,475,far
19,video_FACEOFF_000547.mp4,60,275,far
20,video_FACEOFF_000549.mp4,135,180,mid
21,video_FACEOFF_000550.mp4,160,180,mid
22,video_FACEOFF_000551.mp4,315,380,far
23,video_FACEOFF_000552.mp4,240,290,close
24,video_FACEOFF_000553.mp4,120,160,close
25,video_FACEOFF_000555.mp4,60,115,close
26,video_FACEOFF_000556.mp4,250,280,far
27,video_FACEOFF_000557.mp4,40,130,close
28,video_FACEOFF_000560.mp4,0,100,far
29,video_FACEOFF_000561.mp4,235,305,close
30,video_FACEOFF_000565.mp4,295,350,far
31,video_FACEOFF_000566.mp4,80,130,far
32,video_FACEOFF_000568.mp4,450,545,close
33,video_FACEOFF_000569.mp4,820,855,mid
34,video_FACEOFF_000575.mp4,0,220,close
35,video_FACEOFF_000575.mp4,335,435,close
36,video_FACEOFF_000576.mp4,320,375,mid
37,video_FACEOFF_000577.mp4,420,500,close
38,video_FACEOFF_000580.mp4,660,760,close
39,video_FACEOFF_000581.mp4,0,30,mid
0,video_FACEOFF_000669.mp4,0,120,mid
1,video_FACEOFF_000669.mp4,340,640,close
2,video_FACEOFF_000670.mp4,335,415,close
3,video_FACEOFF_000671.mp4,220,340,close
4,video_FACEOFF_000673.mp4,340,365,close
5,video_FACEOFF_000677.mp4,0,45,close
6,video_FACEOFF_000679.mp4,240,270,close
7,video_FACEOFF_000680.mp4,120,175,mid
8,video_FACEOFF_000681.mp4,40,125,mid
9,video_FACEOFF_000683.mp4,420,440,far
10,video_FACEOFF_000686.mp4,135,180,far
11,video_FACEOFF_000687.mp4,0,110,mid
12,video_FACEOFF_000689.mp4,25,45,mid
13,video_FACEOFF_000690.mp4,210,405,close
14,video_FACEOFF_000691.mp4,0,90,far
15,video_FACEOFF_000692.mp4,280,420,far
16,video_FACEOFF_000693.mp4,0,50,close
17,video_FACEOFF_000694.mp4,380,420,far
18,video_FACEOFF_000694.mp4,545,565,close
19,video_FACEOFF_000695.mp4,155,195,mid
20,video_FACEOFF_000695.mp4,315,350,close
21,video_FACEOFF_000703.mp4,135,235,close
22,video_FACEOFF_000703.mp4,135,235,close
23,video_FACEOFF_000706.mp4,170,335,mid
24,video_FACEOFF_000711.mp4,75,210,far
25,video_FACEOFF_000716.mp4,0,30,mid
26,video_FACEOFF_000716.mp4,245,350,mid
27,video_FACEOFF_000720.mp4,0,120,far
28,video_FACEOFF_000722.mp4,160,210,mid
29,video_FACEOFF_000724.mp4,0,90,close
30,video_FACEOFF_000726.mp4,420,505,mid
31,video_FACEOFF_000727.mp4,55,135,mid
32,video_FACEOFF_000729.mp4,240,345,close
33,video_FACEOFF_000733.mp4,275,350,close
34,video_FACEOFF_000734.mp4,0,145,close
35,video_FACEOFF_000735.mp4,0,70,close
36,video_FACEOFF_000740.mp4,0,65,close
37,video_FACEOFF_000743.mp4,0,260,close
38,video_FACEOFF_000745.mp4,0,45,far
39,video_FACEOFF_000746.mp4,445,485,close
0,video_FACEOFF_000584.mp4,0,95,far
1,video_FACEOFF_000585.mp4,220,360,far
2,video_FACEOFF_000587.mp4,40,410,mid
3,video_FACEOFF_000588.mp4,0,320,mid
4,video_FACEOFF_000596.mp4,140,360,far
5,video_FACEOFF_000598.mp4,220,305,mid
6,video_FACEOFF_000599.mp4,240,285,close
7,video_FACEOFF_000607.mp4,380,515,mid
8,video_FACEOFF_000608.mp4,140,240,far
9,video_FACEOFF_000610.mp4,40,275,far
10,video_FACEOFF_000615.mp4,220,415,far
11,video_FACEOFF_000617.mp4,0,115,far
12,video_FACEOFF_000619.mp4,0,120,mid
13,video_FACEOFF_000620.mp4,5,75,far
14,video_FACEOFF_000622.mp4,0,200,far
15,video_FACEOFF_000623.mp4,110,150,far
16,video_FACEOFF_000624.mp4,60,155,far
17,video_FACEOFF_000625.mp4,275,425,far
18,video_FACEOFF_000628.mp4,0,80,far
19,video_FACEOFF_000629.mp4,355,540,far
20,video_FACEOFF_000630.mp4,80,210,mid
21,video_FACEOFF_000632.mp4,0,415,far
22,video_FACEOFF_000635.mp4,0,80,far
23,video_FACEOFF_000638.mp4,325,405,far
24,video_FACEOFF_000643.mp4,40,155,far
25,video_FACEOFF_000648.mp4,0,30,close
26,video_FACEOFF_000649.mp4,0,95,mid
27,video_FACEOFF_000650.mp4,60,105,mid
28,video_FACEOFF_000652.mp4,140,195,mid
29,video_FACEOFF_000661.mp4,20,120,close
30,video_FACEOFF_000663.mp4,140,295,close
31,video_FACEOFF_000666.mp4,165,370,close
0,video_FACEOFF_000835.mp4,235,280,close
1,video_FACEOFF_000836.mp4,0,55,far
2,video_FACEOFF_000837.mp4,400,430,far
3,video_FACEOFF_000838.mp4,125,160,close
4,video_FACEOFF_000850.mp4,140,180,close
5,video_FACEOFF_000851.mp4,35,240,far
6,video_FACEOFF_000853.mp4,0,15,far
7,video_FACEOFF_000854.mp4,0,20,far
8,video_FACEOFF_000856.mp4,255,290,far
9,video_FACEOFF_000858.mp4,0,20,mid
10,video_FACEOFF_000861.mp4,0,55,far
11,video_FACEOFF_000862.mp4,435,485,far
12,video_FACEOFF_000863.mp4,110,190,far
13,video_FACEOFF_000864.mp4,205,400,mid
14,video_FACEOFF_000865.mp4,50,335,far
15,video_FACEOFF_000866.mp4,285,545,far
16,video_FACEOFF_000866.mp4,700,755,far
17,video_FACEOFF_000867.mp4,380,500,mid
18,video_FACEOFF_000868.mp4,80,195,far
19,video_FACEOFF_000869.mp4,885,890,far
20,video_FACEOFF_000873.mp4,20,215,far
21,video_FACEOFF_000875.mp4,0,135,far
22,video_FACEOFF_000876.mp4,0,75,close
23,video_FACEOFF_000880.mp4,0,20,far
24,video_FACEOFF_000881.mp4,0,150,far
25,video_FACEOFF_000882.mp4,35,185,far
26,video_FACEOFF_000883.mp4,0,175,far
27,video_FACEOFF_000884.mp4,0,40,far
28,video_FACEOFF_000886.mp4,0,50,far
29,video_FACEOFF_000887.mp4,310,335,close
30,video_FACEOFF_000889.mp4,0,210,far
31,video_FACEOFF_000890.mp4,0,110,far
32,video_FACEOFF_000892.mp4,285,340,far
33,video_FACEOFF_000895.mp4,10,45,far
34,video_FACEOFF_000896.mp4,45,245,far
35,video_FACEOFF_000896.mp4,360,420,far
36,video_FACEOFF_000902.mp4,420,530,mid
37,video_FACEOFF_000906.mp4,280,415,far
38,video_FACEOFF_000908.mp4,0,170,mid
39,video_FACEOFF_000915.mp4,35,45,far
40,video_FACEOFF_000916.mp4,0,115,mid
